,title,year,imdb_id
0,Green Book,2018,tt6966692
1,The Shape of Water,2017,tt5580390
2,Moonlight,2016,tt4975722
3,Spotlight,2015,tt1895587
4,Birdman or (The Unexpected Virtue of Ignorance),2014,tt2562232
5,12 Years a Slave,2013,tt2024544
6,Argo,2012,tt1024648
7,The Artist,2011,tt1655442
8,The King's Speech,2010,tt1504320
9,Slumdog Millionaire,2008,tt1010048
10,The Hurt Locker,2008,tt0887912
11,No Country for Old Men,2007,tt0477348
12,The Departed,2006,tt0407887
13,Million Dollar Baby,2004,tt0405159
14,Crash,2004,tt0375679
15,The Lord of the Rings: The Return of the King,2003,tt0167260
16,Chicago,2002,tt0299658
17,A Beautiful Mind,2001,tt0268978
18,Gladiator,2000,tt0172495
19,American Beauty,1999,tt0169547
20,Shakespeare in Love,1998,tt0138097
21,Titanic,1997,tt0120338
22,The English Patient,1996,tt0116209
23,Braveheart,1995,tt0112573
24,Forrest Gump,1994,tt0109830
25,Schindler's List,1993,tt0108052
26,Unforgiven,1992,tt0105695
27,The Silence of the Lambs,1991,tt0102926
28,Dances with Wolves,1990,tt0099348
29,Driving Miss Daisy,1989,tt0097239
30,Rain Man,1988,tt0095953
31,The Last Emperor,1987,tt0093389
32,Platoon,1986,tt0091763
33,Out of Africa,1985,tt0089755
34,Amadeus,1984,tt0086879
35,Terms of Endearment,1983,tt0086425
36,Gandhi,1982,tt0083987
37,Chariots of Fire,1981,tt0082158
38,Ordinary People,1980,tt0081283
39,Kramer vs. Kramer,1979,tt0079417
40,The Deer Hunter,1978,tt0077416
41,Annie Hall,1977,tt0075686
42,Rocky,1976,tt0075148
43,One Flew Over the Cuckoo's Nest,1975,tt0073486
44,The Godfather: Part II,1974,tt0071562
45,The Sting,1973,tt0070735
46,The Godfather,1972,tt0068646
47,The French Connection,1971,tt0067116
48,Patton,1970,tt0066206
49,Midnight Cowboy,1969,tt0064665
50,Oliver!,1968,tt0063385
51,In the Heat of the Night,1967,tt0061811
52,A Man for All Seasons,1966,tt0060665
53,The Sound of Music,1965,tt0059742
54,My Fair Lady,1964,tt0058385
55,Tom Jones,1963,tt0057590
56,Lawrence of Arabia,1962,tt0056172
57,West Side Story,1961,tt0055614
58,The Apartment,1960,tt0053604
59,Ben-Hur,1959,tt0052618
60,Gigi,1958,tt0051658
61,The Bridge on the River Kwai,1957,tt0050212
62,Around the World in 80 Days,1956,tt0048960
63,Marty,1955,tt0048356
64,On the Waterfront,1954,tt0047296
65,From Here to Eternity,1953,tt0045793
66,The Greatest Show on Earth,1952,tt0044672
67,An American in Paris,1951,tt0043278
68,All About Eve,1950,tt0042192
69,All the King's Men,1949,tt0041113
70,Hamlet,1948,tt0040416
71,Gentleman's Agreement,1947,tt0039416
72,The Best Years of Our Lives,1946,tt0036868
73,The Lost Weekend,1945,tt0037884
74,Going My Way,1944,tt0036872
75,Mrs. Miniver,1942,tt0035093
76,Casablanca,1942,tt0034583
77,How Green Was My Valley,1941,tt0033729
78,Rebecca,1940,tt0032976
79,Gone with the Wind,1939,tt0031381
80,You Can't Take It with You,1938,tt0030993
81,The Life of Emile Zola,1937,tt0029146
82,The Great Ziegfeld,1936,tt0027698
83,Mutiny on the Bounty,1935,tt0026752
84,It Happened One Night,1934,tt0025316
85,Cavalcade,1933,tt0023876
86,Grand Hotel,1932,tt0022958
87,Cimarron,1931,tt0021746
88,All Quiet on the Western Front,1930,tt0020629
89,The Broadway Melody,1929,tt0019729
90,Wings,1927,tt0018578
91,Sunrise,1927,tt0018455
